token,baseline_name,variant_name,baseline_selected_score,baseline_selected_no_at_fault_collisions,baseline_selected_drivable_area_compliance,baseline_selected_ego_progress,baseline_selected_time_to_collision_within_bound,baseline_selected_comfort,baseline_selected_driving_direction_compliance,baseline_oracle_score,baseline_ranking_regret,variant_selected_score,variant_selected_no_at_fault_collisions,variant_selected_drivable_area_compliance,variant_selected_ego_progress,variant_selected_time_to_collision_within_bound,variant_selected_comfort,variant_selected_driving_direction_compliance,variant_oracle_score,variant_ranking_regret,delta_score,delta_selected_no_at_fault_collisions,delta_selected_drivable_area_compliance,delta_selected_ego_progress,delta_selected_time_to_collision_within_bound,delta_selected_comfort,delta_selected_driving_direction_compliance,delta_oracle_score,delta_ranking_regret,delta_ranking_ability
373707159e77583c,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0
f2117260382b5d83,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
2472d00839f65c25,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
697882c22eb65ca7,baseline,variant,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
de1662269d685ce0,baseline,variant,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0
4cf809416df6527e,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
3d86e3fc3499578f,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
5825e60bec9f59fb,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
46e5a6cf37de5493,baseline,variant,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
dfa220d6e64f5d84,baseline,variant,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0
