token,log_name,map_name,maneuver,path_length_m,final_lateral_displacement_m,final_heading_change_rad,max_heading_change_rad,geometry_complexity,ego_speed_mps,speed_bin,ego_acceleration_mps2,in_intersection,near_intersection,has_traffic_light,has_red_light,red_light_count,agent_radius_m,dynamic_agent_count,agent_density_bin,nearest_agent_distance_m,nearest_agent_distance_bin,vru_count,has_vru
7da6ba784b8b5ff0,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,29.798311200617977,20.3626933929396,1.4350210848374232,1.4433152304418497,high,6.544976234436035,5-10,0.39444464445114136,True,True,False,False,0,30.0,5,5-9,23.41376206384106,15-30,5,True
ce28bbe99d7f5f43,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,30.247299556163988,21.979539250168624,1.2929187466559773,1.3311003499338696,high,6.285441875457764,5-10,1.8129386901855469,True,True,False,False,0,30.0,5,5-9,25.348051085422714,15-30,5,True
1198cf572c315f9c,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,30.958008088921392,22.535255255702257,1.1134969920697797,1.1661033056316243,high,6.050112724304199,5-10,1.924254298210144,False,True,False,False,0,30.0,5,5-9,22.309668366596018,15-30,5,True
bc88b69c56ec5a0f,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,31.776775073140186,21.183974591660398,0.9118035011123391,0.9476942030827074,high,5.991705417633057,5-10,2.809999942779541,True,True,False,False,0,30.0,4,1-4,19.314466137057853,15-30,4,True
deb455f53c805643,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,32.58040415002432,17.26352541361644,0.6871198282510022,0.6871198282510022,high,6.142884731292725,5-10,3.4162135124206543,True,True,False,False,0,30.0,5,5-9,16.446020932102616,15-30,5,True
3b1e0182cb145b8d,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,33.39914488944441,12.0332082269629,0.5069196985709528,0.5069196985709528,high,6.116073131561279,5-10,2.8859429359436035,True,True,False,False,0,30.0,6,5-9,14.177739732545222,5-15,6,True
25d6781d5063561a,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,34.24000820299215,7.5461723154918685,0.3960604547184908,0.3960604547184908,high,6.0613274574279785,5-10,1.7372385263442993,True,True,False,False,0,30.0,7,5-9,12.905338817497599,5-15,7,True
7755fb23f28f5b2f,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,curved_left,35.13482189539266,4.5161385868614135,0.3288536759231765,0.3288536759231765,medium,6.1257219314575195,5-10,1.590516448020935,True,True,False,False,0,30.0,8,5-9,12.901047620648319,5-15,8,True
52a862ac6c845dbb,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,37.766133138930144,4.691666051684381,0.4036252420753621,0.4036252420753621,high,6.965550422668457,5-10,0.6254103779792786,True,True,False,False,0,30.0,12,10+,14.229241483881864,5-15,9,True
0beacadfbc4553ea,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,40.55543185196619,11.458771992092444,0.4435145517469583,0.4435145517469583,high,7.788270473480225,5-10,1.4925488233566284,False,True,False,False,0,30.0,8,5-9,7.98547559407373,5-15,4,True
f985ec5a35285901,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,left,40.96802085988138,10.047584607686616,0.36872655709804947,0.36872655709804947,high,7.842662334442139,5-10,0.6954028010368347,True,True,False,False,0,30.0,6,5-9,7.589412978594179,5-15,2,True
c3ed0328b37b586b,2021.09.29.19.02.14_veh-28_03198_03360,us-ma-boston,curved_left,41.40332311615723,8.966868429275156,0.3074019810610267,0.3074019810610267,medium,7.972731113433838,5-10,1.7459936141967773,True,True,False,False,0,30.0,6,5-9,9.536400401869852,5-15,2,True
