token,valid,num_proposals,selected_idx,oracle_idx,selected_score,oracle_score,ranking_regret,hit_at_1,hit_at_5,selected_predicted_score,oracle_predicted_score,selected_no_at_fault_collisions,oracle_no_at_fault_collisions,selected_drivable_area_compliance,oracle_drivable_area_compliance,selected_ego_progress,oracle_ego_progress,selected_time_to_collision_within_bound,oracle_time_to_collision_within_bound,selected_comfort,oracle_comfort,selected_driving_direction_compliance,oracle_driving_direction_compliance
7da6ba784b8b5ff0,True,64,42,27,0.8367486519203062,1.0,0.16325134807969377,False,False,2.2065134048461914,1.4076459407806396,1.0,1.0,1.0,1.0,0.608196764608735,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ce28bbe99d7f5f43,True,64,42,0,0.8635930288814189,1.0,0.13640697111858113,False,False,2.1059720516204834,1.6145563125610352,1.0,1.0,1.0,1.0,0.6726232693154054,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1198cf572c315f9c,True,64,42,0,0.9030741628603783,1.0,0.09692583713962166,False,False,2.201664686203003,2.064476728439331,1.0,1.0,1.0,1.0,0.7673779908649079,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bc88b69c56ec5a0f,True,64,62,43,1.0,1.0,0.0,False,True,2.101670503616333,0.4857017993927002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deb455f53c805643,True,64,53,6,0.8776422050890952,1.0,0.12235779491090482,False,False,2.146056890487671,1.0962460041046143,1.0,1.0,1.0,1.0,0.7063412922138285,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3b1e0182cb145b8d,True,64,11,6,0.933908782994362,1.0,0.06609121700563803,False,False,2.2186219692230225,1.7856980562210083,1.0,1.0,1.0,1.0,0.8413810791864688,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25d6781d5063561a,True,64,45,6,1.0,1.0,0.0,False,True,2.3584015369415283,2.2037150859832764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7755fb23f28f5b2f,True,64,63,22,1.0,1.0,0.0,False,True,2.3902976512908936,2.3485748767852783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52a862ac6c845dbb,True,64,24,16,0.9498146531309294,1.0,0.05018534686907061,False,False,2.353548288345337,2.275700330734253,1.0,1.0,1.0,1.0,0.8795551675142308,1.0,1.0,1.0,1.0,1.0,0.0,0.5
0beacadfbc4553ea,True,64,61,9,0.984065632377599,1.0,0.01593436762240097,False,False,2.4432365894317627,2.4321677684783936,1.0,1.0,1.0,1.0,0.9617575177062379,1.0,1.0,1.0,1.0,1.0,0.0,0.0
f985ec5a35285901,True,64,27,9,1.0,1.0,0.0,False,True,2.4288649559020996,2.361556053161621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
c3ed0328b37b586b,True,64,61,9,0.9895523052460934,1.0,0.010447694753906611,False,False,2.434373378753662,2.4197421073913574,1.0,1.0,1.0,1.0,0.9749255325906241,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19d7afdb02055502,True,64,27,9,1.0,1.0,0.0,False,True,2.4317686557769775,2.3753092288970947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6a5c90faa1cc5f03,True,64,39,9,0.9676472795289189,1.0,0.032352720471081065,False,False,2.4188525676727295,2.386188507080078,1.0,1.0,1.0,1.0,0.9223534708694056,1.0,1.0,1.0,1.0,1.0,1.0,1.0
df5915c3464e569e,True,64,39,9,0.9700190592390326,1.0,0.029980940760967356,False,False,2.437713861465454,2.424567699432373,1.0,1.0,1.0,1.0,0.9280457421736783,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f154d2accd365815,True,64,27,9,0.9872404247382506,1.0,0.012759575261749423,False,False,2.442554235458374,2.4323678016662598,1.0,1.0,1.0,1.0,0.9693770193718013,1.0,1.0,1.0,1.0,1.0,1.0,1.0
