token,score,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance
939be40082d9515a,0.0,1.0,0.0,0.0,1.0,1.0,1.0
c823f9a693a05d93,0.0,1.0,0.0,0.0,1.0,1.0,1.0
205dd2add8b357f6,0.0,0.0,1.0,0.0,0.0,1.0,1.0
8224a14715c2577b,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1fe2f21f53c05378,0.0,1.0,0.0,0.0,1.0,1.0,1.0
70322003ab525a2e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
63573ea2fdb85b0e,0.0,1.0,0.0,0.0,1.0,1.0,1.0
757c23c6819c589c,0.0,1.0,0.0,0.0,1.0,1.0,1.0
14d9640a8b9d5d7d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5583c1447acd5f31,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8d3c8a698ac65342,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a9fb1181686753ec,0.0,1.0,0.0,0.0,1.0,1.0,1.0
caa0f73288d75ba7,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2b04c510144e5545,0.0,1.0,0.0,0.0,1.0,1.0,1.0
b605703d3fb05725,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4d31d76919495557,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2731fa425acf52f4,0.0,1.0,0.0,0.0,1.0,1.0,0.5
f7a9f82f17b256e2,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a3bb30f4190a5f5d,0.0,1.0,0.0,0.0,1.0,1.0,1.0
706cc8e44dbd557d,0.0,1.0,0.0,0.0,0.0,1.0,1.0
761985c4330555f2,0.0,0.0,1.0,0.0,0.0,1.0,1.0
82291c12e1485f32,0.0,1.0,0.0,0.0,1.0,1.0,1.0
ac808bd1bfac5425,0.0,1.0,0.0,0.0,1.0,1.0,1.0
e1b3e5e086a05ff9,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1979ed31b57b59ea,0.0,0.0,1.0,0.0,0.0,1.0,1.0
b0aa550f818f52a0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
47e3bbbd82b2583b,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5d3573d6da7952d3,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0b046094d70257ed,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5a41a7f756c551ce,0.0,1.0,0.0,0.0,1.0,1.0,1.0
a6b34e50b7995664,0.0,0.0,1.0,0.0,0.0,1.0,1.0
9d7030a6966b54cd,0.0,0.0,1.0,0.0,1.0,1.0,1.0
b5b8d20688385790,0.0,1.0,0.0,0.0,1.0,1.0,1.0
7857a22b3bc85bb4,0.0,1.0,0.0,0.0,1.0,1.0,1.0
5c1b8e332d105b79,0.0,1.0,0.0,0.0,1.0,1.0,1.0
